lambda,alex_rouge,mathilde,a_c,m_e,alex_blanc,alex_bleu,,,,
644,0.377397787,0.354733785,0.108461538,0.054816665,0.416769157,0.19978355,,,,
645,0.366547157,0.344534355,0.105474155,0.053953824,0.404925445,0.193621564,,,,
646,0.356307026,0.333813964,0.102177452,0.054613165,0.392691013,0.187353757,,,,
647,0.348191438,0.324094794,0.099417989,0.057079587,0.383150923,0.182445332,,,,
648,0.335867466,0.312690643,0.096349206,0.067905798,0.36990713,0.176731047,,,,
649,0.327247197,0.304680875,0.093516484,0.132647353,0.361181041,0.172091242,,,,
650,0.32010027,0.297086247,0.090553521,0.182313612,0.352007252,0.166963037,,,,
651,0.310568321,0.287318237,0.087932438,0.115614386,0.342092722,0.162241832,,,,
652,0.300954971,0.277249047,0.084993895,0.099098309,0.33016761,0.157553188,,,,
653,0.290625301,0.267163577,0.082299552,0.089045399,0.319349539,0.151716802,,,,
654,0.280743331,0.258103748,0.079084249,0.071943242,0.309028009,0.146450216,,,,
655,0.273034743,0.249442779,0.077081807,0.065121915,0.2996263,0.142477892,,,,
656,0.264202834,0.241270211,0.074232804,0.064902135,0.29023273,0.137846228,,,,
657,0.255957006,0.232210382,0.071790802,0.069159359,0.27957746,0.132701743,,,,
658,0.246701817,0.223117993,0.068892959,0.053099123,0.27038739,0.128623599,,,,
659,0.238521109,0.213781404,0.066564917,0.043176453,0.260969401,0.124317534,,,,
660,0.233865024,0.208697969,0.065433455,0.04024198,0.254917305,0.120589411,,,,
661,0.226221556,0.201888852,0.063569394,0.070852481,0.248352388,0.117772968,,,,
662,0.219172309,0.193683724,0.060923891,0.108068598,0.239373959,0.113556444,,,,
663,0.211154401,0.186447256,0.058652829,0.073090983,0.230932771,0.109372479,,,,
664,0.203771414,0.179381729,0.056910867,0.051462981,0.223509084,0.105473415,,,,
665,0.197161727,0.172210382,0.054436304,0.045227735,0.215019055,0.102119732,,,,
666,0.18966478,0.166089096,0.053044363,0.046285936,0.207587228,0.098725349,,,,
667,0.182705073,0.16019573,0.050854701,0.045056795,0.200562401,0.095233285,,,,
668,0.176494246,0.153911644,0.048917379,0.040653051,0.193407333,0.091635402,,,,
669,0.170543901,0.147822918,0.046809117,0.038487808,0.185666186,0.088566619,,,,
670,0.164023754,0.143004033,0.045091575,0.038512229,0.178844859,0.085579236,,,,
671,0.157234987,0.137713028,0.043129833,0.038479668,0.172479372,0.081932512,,,,
672,0.151089281,0.132153402,0.041794872,0.034662005,0.164241684,0.078334628,,,,
673,0.144560995,0.127647908,0.03971917,0.032574093,0.158372738,0.076218226,,,,
674,0.140564251,0.124151774,0.038286528,0.031080401,0.153505014,0.072970363,,,,
675,0.135118585,0.11966663,0.036568987,0.0298187,0.148108188,0.070650461,,,,
676,0.131838162,0.117232767,0.036056166,0.028947719,0.143989344,0.068379398,,,,
677,0.128004218,0.114400044,0.034818885,0.0299408,0.139292559,0.066409516,,,,
678,0.123527214,0.111502202,0.033378103,0.034035224,0.134815555,0.064626855,,,,
679,0.12010027,0.107879898,0.032515263,0.040799571,0.13022459,0.062453472,,,,
680,0.114622045,0.103622674,0.030675621,0.042443852,0.125218485,0.06014171,,,,
681,0.1104218,0.09993525,0.029462759,0.037242387,0.11969142,0.057927628,,,,
682,0.106091316,0.096426906,0.028233618,0.033034003,0.115556296,0.055306545,,,,
683,0.101752692,0.092584823,0.027289377,0.032114182,0.111250231,0.053255263,,,,
684,0.097951308,0.08960558,0.026043956,0.034588745,0.106341806,0.051179561,,,,
685,0.093498723,0.085812336,0.024945055,0.044031154,0.102149702,0.049250379,,,,
686,0.08968106,0.082833093,0.024334554,0.078162208,0.098266918,0.047321197,,,,
687,0.086433196,0.07963407,0.022893773,0.086326636,0.094123654,0.045139675,,,,
688,0.083527214,0.076597847,0.022169312,0.05015244,0.090542051,0.043666334,,,,
