lambda,1,2,3,4,5,6,7,8,9,10,11
240.2999844,11.76153846,18.2,13.62307692,17.98461538,13.82307692,16.22307692,15.53076923,14.63846154,16.66923077,16.09230769,8.307692308
240.5172488,12.57692308,8.423076923,4.761538462,9.584615385,8.723076923,5.030769231,13.6,13.84615385,11.50769231,10.85384615,7.615384615
240.7345032,8.107692308,18.43076923,21.76923077,16.18461538,7.292307692,15.20769231,17.06923077,18.54615385,14.46923077,14.55384615,30.55384615
240.9517477,7.792307692,15.13076923,15.63076923,8.776923077,17.19230769,8.438461538,8.384615385,14.55384615,13.92307692,19.08461538,20.39230769
241.1689823,13.16923077,7.930769231,13.83076923,16.06153846,12.06153846,9.684615385,8.8,14.00769231,23.90769231,7.923076923,16.41538462
241.386207,11.70769231,12.69230769,13.32307692,5.892307692,11.28461538,11.80769231,13.67692308,12.82307692,18.46923077,15.53076923,11.72307692
241.6034217,8.523076923,14.02307692,15.05384615,16.27692308,5.453846154,10.21538462,6.007692308,18.5,24.9,18.54615385,14.43846154
241.8206264,4.807692308,13.72307692,8,15.41538462,5.853846154,13.79230769,10.9,19.35384615,17.36153846,8.569230769,3.292307692
242.0378213,15.29230769,20.23846154,16.45384615,16.5,5.430769231,12.17692308,18.73846154,11.3,19.63076923,17.00769231,20.7
242.2550061,11.35384615,9.653846154,9.976923077,14.17692308,11.36153846,17.43846154,13.68461538,14.5,11.48461538,8.492307692,7.176923077
242.4721811,8.653846154,11.61538462,20.10769231,13.12307692,14.1,17.09230769,7.8,15.31538462,13.59230769,12.49230769,16.03076923
242.689346,10.47692308,12.37692308,10.6,7.153846154,9.830769231,13.00769231,13.82307692,14.94615385,18.34615385,15.46153846,12.43076923
242.9065011,10.24615385,14.14615385,11.32307692,13.32307692,12.87692308,10.42307692,12.21538462,12.59230769,15.18461538,26.23076923,22.55384615
243.1236461,9.630769231,7.661538462,16.50769231,17.60769231,16.06153846,4.707692308,10.27692308,9.346153846,5.3,13.36153846,11.33846154
