Distance_(cm),Gray_Value
5.5884,101.698
5.5952,104.265
5.6019,116.223
5.6086,125.602
5.6153,122.087
5.6221,121.534
5.6288,127.791
5.6355,143.348
5.6422,159.719
5.6490,169.242
5.6557,170.051
5.6624,166.786
5.6691,146.805
5.6759,151.281
5.6826,157.919
5.6893,161.927
5.6960,164.266
5.7028,164.068
5.7095,162.767
5.7162,163.293
5.7229,147.430
5.7297,144.937
5.7364,145.060
5.7431,145.293
5.7498,146.221
5.7566,147.605
5.7633,148.286
5.7700,148.985
5.7767,162.339
5.7835,164.573
5.7902,166.924
5.7969,169.621
5.8036,173.541
5.8104,177.026
5.8171,179.453
5.8238,179.982
5.8305,180.451
5.8373,181.433
5.8440,183.068
5.8507,184.699
5.8574,185.399
5.8642,184.660
5.8709,182.528
5.8776,180.375
5.8843,178.233
5.8911,176.345
5.8978,172.163
5.9045,165.223
5.9112,155.034
5.9180,143.894
5.9247,133.950
5.9314,126.915
5.9381,122.821
5.9449,121.692
5.9516,120.928
5.9583,120.299
5.9650,119.618
5.9718,118.692
5.9785,118.222
5.9852,118.103
5.9919,116.315
5.9987,115.333
6.0054,115.333
6.0121,115.333
6.0188,115.333
6.0256,115.333
6.0323,115.333
6.0390,115.304
6.0457,116.855
6.0525,118.392
6.0592,118.735
6.0659,119.932
6.0726,121.605
6.0794,123.001
6.0861,124.315
6.0928,124.902
6.0995,127.949
6.1063,131.082
6.1130,132.348
6.1197,134.214
6.1264,136.301
6.1332,138.671
6.1399,140.500
6.1466,141.710
6.1533,145.622
6.1601,149.381
6.1668,147.431
6.1735,145.466
6.1802,144.111
6.1870,143.769
6.1937,143.600
6.2004,143.529
6.2071,149.305
6.2139,158.930
6.2206,159.867
6.2273,160.458
6.2340,162.209
6.2408,163.417
6.2475,164.458
6.2542,165.410
6.2609,163.379
6.2677,159.263
6.2744,159.660
6.2811,160.287
6.2878,160.729
6.2946,161.677
6.3013,162.700
6.3080,163.262
6.3147,166.008
6.3215,172.588
6.3282,173.930
6.3349,175.745
6.3416,177.765
6.3484,179.563
6.3551,181.935
6.3618,183.387
6.3685,183.535
6.3753,184.617
6.3820,184.471
6.3887,184.200
6.3954,183.764
6.4022,183.327
6.4089,182.952
6.4156,182.788
6.4223,181.441
6.4291,176.706
6.4358,176.614
6.4425,177.326
6.4492,178.817
6.4560,180.214
6.4627,181.363
6.4694,182.373
6.4761,183.326
6.4829,186.246
6.4896,184.845
6.4963,184.487
6.5030,181.793
6.5098,180.389
6.5165,179.039
6.5232,177.734
6.5299,177.050
6.5367,177.015
6.5434,176.489
6.5501,175.217
6.5568,173.944
6.5636,172.654
6.5703,170.323
6.5770,169.296
6.5837,168.532
6.5905,169.273
6.5972,169.362
6.6039,169.086
6.6106,168.027
6.6174,166.090
6.6241,164.515
6.6308,163.388
6.6375,162.562
6.6443,167.215
6.6510,166.805
6.6577,165.742
6.6644,164.955
6.6712,164.543
6.6779,162.686
6.6846,162.375
6.6913,161.484
6.6981,161.402
6.7048,160.084
6.7115,157.340
6.7182,153.630
6.7250,150.159
6.7317,146.592
6.7384,143.931
6.7451,141.423
6.7519,135.956
6.7586,134.375
6.7653,133.471
6.7720,132.527
6.7788,131.388
6.7855,129.767
6.7922,129.081
6.7989,128.202
6.8057,126.052
6.8124,124.209
6.8191,123.195
6.8258,121.882
6.8326,120.710
6.8393,119.599
6.8460,118.487
6.8527,117.911
6.8595,118.822
6.8662,119.333
6.8729,118.643
6.8796,118.333
6.8864,117.657
6.8931,117.333
6.8998,116.671
6.9065,116.333
6.9133,115.686
6.9200,115.333
6.9267,115.333
6.9334,115.333
6.9402,115.333
6.9469,115.333
6.9536,115.333
6.9603,115.333
6.9671,115.333
6.9738,115.333
6.9805,115.333
6.9872,115.333
6.9940,115.333
7.0007,115.333
7.0074,115.333
7.0141,115.333
7.0209,115.511
7.0276,115.491
7.0343,115.852
7.0410,116.333
7.0478,117.006
7.0545,117.667
7.0612,118.157
7.0679,118.343
7.0747,117.870
7.0814,117.872
7.0881,117.806
7.0948,117.745
7.1016,117.905
7.1083,117.727
7.1150,117.338
7.1217,116.997
7.1285,119.600
7.1352,123.501
7.1419,124.117
7.1486,124.936
7.1554,126.123
7.1621,126.997
7.1688,128.121
7.1755,129.042
7.1823,129.980
7.1890,131.678
7.1957,131.923
7.2024,132.280
7.2092,132.596
7.2159,132.982
7.2226,133.419
7.2293,133.672
7.2361,133.469
7.2428,130.852
7.2495,131.094
7.2562,132.044
7.2630,132.953
7.2697,134.281
7.2764,135.541
7.2831,136.173
7.2899,135.280
7.2966,132.817
7.3033,132.726
7.3100,132.863
7.3168,133.425
7.3235,133.595
7.3302,134.121
7.3369,134.223
7.3437,134.882
7.3504,137.846
7.3571,137.665
7.3638,138.132
7.3706,137.968
7.3773,138.657
7.3840,138.909
7.3907,139.048
7.3975,139.539
7.4042,144.656
7.4109,144.264
7.4176,143.943
7.4244,143.586
7.4311,143.229
7.4378,142.884
7.4445,142.629
7.4513,142.429
7.4580,141.420
7.4647,141.228
7.4714,140.775
7.4782,139.756
7.4849,138.425
7.4916,138.234
7.4983,137.105
7.5051,136.879
7.5118,136.745
7.5185,135.442
7.5252,134.820
7.5320,134.224
7.5387,133.049
7.5454,132.363
7.5521,131.087
7.5589,130.983
7.5656,131.238
7.5723,131.654
7.5790,131.570
7.5858,131.451
7.5925,131.332
7.5992,131.213
7.6059,131.094
7.6127,130.975
7.6194,127.100
7.6261,126.667
7.6328,126.667
7.6396,126.667
7.6463,126.667
7.6530,126.667
7.6597,126.667
7.6665,126.384
7.6732,125.214
7.6799,124.445
7.6866,123.508
7.6934,122.515
7.7001,121.523
7.7068,119.726
7.7135,119.333
7.7203,118.544
7.7270,117.551
7.7337,117.333
7.7404,117.297
7.7472,116.627
7.7539,116.380
7.7606,115.818
7.7673,115.445
7.7741,115.002
7.7808,116.208
7.7875,116.309
7.7942,116.096
7.8010,115.953
7.8077,115.715
7.8144,115.477
7.8211,115.239
7.8279,115.001
7.8346,113.586
7.8413,113.000
7.8480,113.000
7.8548,113.000
7.8615,113.000
7.8682,113.000
7.8749,113.000
7.8817,113.000
7.8884,113.000
7.8951,113.000
7.9018,113.000
7.9086,113.000
7.9153,113.000
7.9220,113.000
7.9287,113.000
7.9355,113.000
7.9422,113.000
7.9489,113.000
7.9556,113.000
7.9624,113.000
7.9691,113.000
7.9758,113.000
7.9825,113.000
7.9893,113.000
7.9960,113.000
8.0027,113.290
8.0094,113.712
8.0162,114.225
8.0229,114.900
8.0296,115.460
8.0363,116.000
8.0431,116.446
8.0498,118.569
8.0565,120.455
8.0632,120.336
8.0700,120.217
8.0767,120.098
8.0834,119.979
8.0901,119.860
8.0969,119.741
8.1036,119.130
8.1103,118.333
8.1170,118.333
8.1238,118.333
8.1305,118.333
8.1372,118.333
8.1439,118.333
8.1507,118.333
8.1574,118.982
8.1641,120.333
8.1708,120.333
8.1776,120.636
8.1843,121.629
8.1910,122.333
8.1977,122.615
8.2045,123.333
8.2112,123.436
8.2179,123.599
8.2246,123.733
8.2314,124.607
8.2381,125.481
8.2448,126.384
8.2515,127.233
8.2583,128.103
8.2650,129.768
8.2717,133.295
8.2784,133.057
8.2852,132.819
8.2919,132.581
8.2986,132.343
8.3053,132.105
8.3121,131.867
8.3188,131.776
8.3255,132.116
8.3322,131.560
8.3390,130.635
8.3457,129.646
8.3524,128.901
8.3591,127.725
8.3659,127.177
8.3726,126.835
8.3793,134.838
8.3860,134.938
8.3928,134.778
8.3995,134.328
8.4062,133.991
8.4129,132.916
8.4197,133.287
8.4264,132.900
8.4331,127.517
8.4398,126.987
8.4466,127.216
8.4533,127.028
8.4600,127.385
8.4667,127.546
8.4735,128.021
8.4802,128.333
8.4869,124.437
8.4936,124.333
8.5004,124.333
8.5071,124.333
8.5138,124.333
8.5205,124.333
8.5273,124.333
8.5340,124.333
8.5407,126.158
8.5474,125.424
8.5542,124.431
8.5609,123.438
8.5676,122.445
8.5743,121.452
8.5811,120.459
8.5878,119.467
8.5945,121.912
8.6012,121.481
8.6080,121.333
8.6147,120.495
8.6214,120.333
8.6281,119.510
8.6349,119.333
8.6416,118.524
8.6483,118.333
8.6550,118.333
8.6618,118.333
8.6685,118.333
8.6752,118.333
8.6819,118.333
8.6887,118.333
8.6954,118.333
8.7021,118.333
8.7088,118.333
8.7156,118.333
8.7223,118.333
8.7290,118.333
8.7357,118.333
8.7425,118.333
8.7492,118.333
8.7559,118.333
8.7626,118.333
8.7694,118.333
