Distance,Intensite
1654,91.317
1655,86.694
1656,85.000
1657,87.767
1658,93.217
1659,96.250
1660,100.000
1661,101.264
1662,101.250
1663,101.761
1664,101.667
1665,101.167
1666,98.883
1667,98.153
1668,96.867
1669,95.908
1670,94.972
1671,93.792
1672,93.778
1673,93.156
1674,94.817
1675,96.472
1676,99.056
1677,100.675
1678,103.656
1679,105.661
1680,109.000
1681,113.003
1682,115.022
1683,117.367
1684,118.000
1685,117.306
1686,116.950
1687,114.628
1688,112.333
1689,110.667
1690,109.000
1691,107.000
1692,105.000
1693,103.667
1694,101.667
1695,100.333
1696,99.578
1697,98.239
1698,97.000
1699,97.000
1700,97.111
1701,98.883
1702,100.817
1703,104.078
1704,106.667
1705,108.583
1706,111.117
1707,111.442
1708,111.022
1709,110.000
1710,109.667
1711,109.667
1712,109.178
1713,109.000
1714,107.761
1715,107.292
1716,106.167
1717,105.411
1718,105.211
1719,102.325
1720,100.667
1721,101.333
1722,102.550
1723,104.094
1724,106.967
1725,108.875
1726,111.000
1727,111.333
1728,111.867
1729,111.864
1730,111.306
1731,111.675
1732,111.600
1733,111.567
1734,110.867
1735,109.653
1736,109.222
1737,109.842
1738,110.828
1739,111.158
1740,110.833
1741,110.503
1742,108.989
1743,108.142
1744,108.289
1745,108.278
1746,107.600
1747,107.628
1748,107.333
1749,106.383
1750,105.972
1751,105.122
1752,103.467
1753,101.144
1754,97.411
1755,92.167
1756,88.067
1757,86.717
1758,87.800
1759,91.106
1760,93.778
1761,95.683
1762,97.944
1763,99.947
1764,102.300
1765,103.944
1766,103.811
1767,103.817
1768,103.067
1769,103.150
1770,104.417
1771,106.344
1772,106.667
1773,106.408
1774,106.478
1775,107.528
1776,107.667
1777,107.000
1778,107.122
1779,106.683
1780,106.667
1781,107.211
1782,107.250
1783,107.142
1784,107.667
1785,107.958
1786,109.511
1787,110.856
1788,111.533
1789,110.939
1790,110.278
1791,110.383
1792,110.333
1793,109.000
1794,109.033
1795,108.361
1796,107.678
1797,107.675
1798,107.667
1799,107.000
1800,106.333
1801,106.322
1802,104.667
1803,104.308
1804,104.633
1805,105.333
1806,106.333
1807,108.333
1808,109.000
1809,109.000
1810,109.000
