Distance_(cm),Gray_Value
5.75428,70.066
5.76095,58.599
5.76762,49.678
5.77428,46.833
5.78095,50.157
5.78762,51.624
5.79429,52.087
5.80095,59.751
5.80762,63.751
5.81429,69.499
5.82096,74.774
5.82763,76.620
5.83429,76.442
5.84096,76.856
5.84763,78.157
5.85430,89.364
5.86096,89.301
5.86763,86.602
5.87430,80.970
5.88097,73.928
5.88764,67.144
5.89430,62.617
5.90097,60.675
5.90764,58.094
5.91431,55.533
5.92097,52.841
5.92764,50.624
5.93431,49.344
5.94098,49.680
5.94764,51.185
5.95431,52.561
5.96098,56.687
5.96765,60.000
5.97432,60.000
5.98098,60.000
5.98765,60.000
5.99432,63.332
6.00099,66.684
6.00765,68.853
6.01432,67.264
6.02099,58.297
6.02766,57.982
6.03433,56.837
6.04099,56.005
6.04766,54.335
6.05433,52.748
6.06100,51.915
6.06766,50.333
6.07433,50.569
6.08100,50.817
6.08767,50.760
6.09434,50.985
6.10100,50.376
6.10767,50.061
6.11434,49.887
6.12101,49.987
6.12767,52.679
6.13434,53.822
6.14101,54.072
6.14768,54.323
6.15435,54.573
6.16101,54.824
6.16768,55.074
6.17435,55.325
6.18102,53.071
6.18768,50.333
6.19435,50.333
6.20102,50.333
6.20769,51.224
6.21436,51.660
6.22102,51.610
6.22769,51.329
6.23436,51.333
6.24103,51.333
6.24769,51.493
6.25436,52.461
6.26103,53.429
6.26770,54.461
6.27437,56.333
6.28103,56.333
